layer,平均面积(km²),总面积(km²),数量,0-0.5 km²,0.5-1.5 km²,1.5-5 km²,5-20 km²,>20 km²
江苏,1.0283094837388889,74.0382828292,72,40,16,14,2,0
山东,1.6149199378928571,67.8266373915,42,23,7,9,3,0
安徽,0.7685283386686567,51.4913986908,67,33,24,10,0,0
浙江,1.1647400926387097,36.1069428718,31,17,5,7,2,0
江西,0.7134154810195121,29.2500347218,41,22,10,9,0,0
湖北,0.6214090728931818,27.3419992073,44,24,16,4,0,0
广东,0.5623059328348837,24.179155111900002,43,29,10,3,1,0
天津,2.5929397032000003,23.3364573288,9,3,5,0,1,0
湖南,0.926893690561111,16.6840864301,18,6,8,4,0,0
台湾,0.7413450474705883,12.602865807,17,13,0,4,0,0
辽宁,1.571085645925,12.5686851674,8,3,2,3,0,0
河北,0.4841918520583333,11.6206044494,24,18,3,3,0,0
海南,1.4837995911500002,8.9027975469,6,4,0,2,0,0
广西,0.48226374486,7.2339561729,15,11,3,1,0,0
上海,1.0984512080000002,2.1969024160000004,2,0,1,1,0,0
河南,0.25919287154285714,1.8143501008,7,5,2,0,0,0
宁夏,0.5583265099666667,1.6749795298999999,3,2,1,0,0,0
福建,0.202718912,0.608156736,3,3,0,0,0,0
四川,0.2620073076,0.2620073076,1,1,0,0,0,0
北京,0.0549018922,0.0549018922,1,1,0,0,0,0
